run_id,run_kind,negative_control_type,template,true_ipv_rad,true_ipv_source,counterpart_ipv_rad,intensity,seed_index,seed,n_steps,solver_mode,history_window,min_observation,persistent_k,frame_rows,run_status,reason_code,persistent_onset_step,persistent_concentration_any,run_estimate_ipv_log,signed_error_rad,abs_error_rad,zero_abs_error_rad,half_grid_success,one_grid_success,zero_half_grid_success,zero_one_grid_success,collision_any,opportunity_any,accepted_frame_count
interactive|clear_priority_crossing|t1|c0|strong|s1,interactive,,clear_priority_crossing,-0.5890486225480862,off_grid,-0.7853981633974483,strong,1,2026082811,16,exact,10,4,3,12,RECOVERED_READING,OK,4.0,True,0.041630539464139166,0.6306791620122254,0.6306791620122254,0.5890486225480862,False,False,False,False,False,True,12.0
interactive|clear_priority_crossing|t1|c0|strong|s2,interactive,,clear_priority_crossing,-0.5890486225480862,off_grid,-0.7853981633974483,strong,2,2026082812,16,exact,10,4,3,12,RECOVERED_READING,OK,4.0,True,0.3731831584487831,0.9622317809968692,0.9622317809968692,0.5890486225480862,False,False,False,False,False,True,12.0
interactive|clear_priority_crossing|t1|c1|weak|s0,interactive,,clear_priority_crossing,-0.5890486225480862,off_grid,0.7853981633974483,weak,0,2026082820,16,exact,10,4,3,12,RECOVERED_READING,OK,4.0,True,-0.0005740964851221837,0.588474526062964,0.588474526062964,0.5890486225480862,False,False,False,False,False,True,12.0
interactive|clear_priority_crossing|t1|c1|weak|s1,interactive,,clear_priority_crossing,-0.5890486225480862,off_grid,0.7853981633974483,weak,1,2026082821,16,exact,10,4,3,12,RECOVERED_READING,OK,4.0,True,-0.0223624312177055,0.5666861913303807,0.5666861913303807,0.5890486225480862,False,False,False,False,False,True,12.0
interactive|clear_priority_crossing|t1|c1|weak|s2,interactive,,clear_priority_crossing,-0.5890486225480862,off_grid,0.7853981633974483,weak,2,2026082822,16,exact,10,4,3,12,RECOVERED_READING,OK,4.0,True,-0.00032309052199624684,0.58872553202609,0.58872553202609,0.5890486225480862,False,False,False,False,False,True,12.0
interactive|clear_priority_crossing|t1|c1|strong|s0,interactive,,clear_priority_crossing,-0.5890486225480862,off_grid,0.7853981633974483,strong,0,2026082830,16,exact,10,4,3,12,RECOVERED_READING,OK,4.0,True,-0.0024709379054250516,0.5865776846426611,0.5865776846426611,0.5890486225480862,False,False,False,False,False,True,12.0
interactive|clear_priority_crossing|t1|c1|strong|s1,interactive,,clear_priority_crossing,-0.5890486225480862,off_grid,0.7853981633974483,strong,1,2026082831,16,exact,10,4,3,12,RECOVERED_READING,OK,4.0,True,-0.005320210643074868,0.5837284119050113,0.5837284119050113,0.5890486225480862,False,False,False,False,False,True,12.0
interactive|clear_priority_crossing|t1|c1|strong|s2,interactive,,clear_priority_crossing,-0.5890486225480862,off_grid,0.7853981633974483,strong,2,2026082832,16,exact,10,4,3,12,RECOVERED_READING,OK,4.0,True,-0.00078540868182898,0.5882632138662572,0.5882632138662572,0.5890486225480862,False,False,False,False,False,True,12.0
interactive|clear_priority_crossing|t2|c0|weak|s0,interactive,,clear_priority_crossing,0.0,on_grid,-0.7853981633974483,weak,0,2026082800,16,exact,10,4,3,12,RECOVERED_READING,OK,4.0,True,0.01864218405089277,0.01864218405089277,0.01864218405089277,0.0,True,True,True,True,False,True,12.0
interactive|clear_priority_crossing|t2|c0|weak|s1,interactive,,clear_priority_crossing,0.0,on_grid,-0.7853981633974483,weak,1,2026082801,16,exact,10,4,3,12,RECOVERED_READING,OK,4.0,True,-0.005090194954522259,-0.005090194954522259,0.005090194954522259,0.0,True,True,True,True,False,True,12.0
