factor,level,total_runs,accepted_runs,coverage,spearman,bias_rad,mae_rad,rmse_rad,median_abs_error_rad,zero_mae_rad,half_grid_num,one_grid_num,zero_half_grid_num,zero_one_grid_num
template,ambiguous_priority_crossing,60,60,1.0,0.189861826595318,0.6198782007026028,0.6473451654116261,0.8579008814845049,0.5877438057986836,0.5497787143782137,25,27,12,12
template,clear_priority_crossing,60,60,1.0,0.27764740233293816,0.10722860857467124,0.5215895275773759,0.6109465269887541,0.5874204492544592,0.5497787143782137,15,17,12,12
template,merge,60,60,1.0,-0.10718155245722331,0.04686130156314821,0.6620664246855374,0.7806772540437322,0.6806235247597087,0.5497787143782137,15,19,12,12
template,same_direction_negotiation,60,35,0.5833333333333334,0.8174642982183928,0.1893369211931648,0.2637139077288701,0.36954384520528377,0.1875027288498613,0.5722186619038553,19,25,6,6
true_ipv_source,off_grid,96,86,0.8958333333333334,0.2539451023257081,0.2520503112749668,0.5278166161513852,0.6630658757319882,0.5804611272961298,0.589048622548086,31,33,0,0
true_ipv_source,on_grid,144,129,0.8958333333333334,0.20657658168870777,0.24332210947704616,0.5713009677671607,0.7371201014534259,0.5814251288025833,0.529687133454093,43,55,42,42
intensity,strong,120,120,1.0,0.4049460370305832,0.31646243127408114,0.5014400512984685,0.6620993259128581,0.5041831737869257,0.5497787143782138,48,55,24,24
intensity,weak,120,95,0.7916666666666666,0.02547839927110669,0.15883565409785644,0.620181554475438,0.7629377029474106,0.5902139974236362,0.5580460634666078,26,33,18,18
