run_id,run_kind,negative_control_type,template,intensity,seed,step,history_start_index,history_sample_count,true_ipv_rad,counterpart_ipv_rad,ipv_log,legacy_ipv,legacy_ipv_error,signed_error_rad,abs_error_rad,max_weight,q_eff,mse_spread,concentration_pass,opportunity_true,oracle_informativeness,collision_true,measurement_status,reason_code,mse_0,mse_1,mse_2,mse_3,mse_4,mse_5,mse_6,w_log_0,w_log_1,w_log_2,w_log_3,w_log_4,w_log_5,w_log_6
interactive|clear_priority_crossing|t0|c0|weak|s0,interactive,,clear_priority_crossing,weak,2026082800,4,0,5,-0.7853981633974483,-0.7853981633974483,0.0009043263299973459,0.0009043263299973493,0.15802815118814229,0.7863024897274457,0.7863024897274457,0.8392552068794884,0.20151473957248203,0.0780591317504231,True,True,0.6614051112952312,False,ATTEMPTED,OK,0.07828447375998221,0.06567283259497474,0.06614815211096141,0.00022534200955910528,0.06553344939571319,0.06631746466857517,0.07700700490144673,0.016937976863145875,0.03182144109252799,0.03107408944062494,0.8392552068794884,0.03204398437489603,0.030812138118331844,0.018055163230984838
interactive|clear_priority_crossing|t0|c0|weak|s0,interactive,,clear_priority_crossing,weak,2026082800,5,0,6,-0.7853981633974483,-0.7853981633974483,-0.002717851011529616,-0.002717851011529604,0.07734164427948098,0.7826803123859186,0.7826803123859186,0.9221087530015415,0.16781088266227076,0.08672026481331142,True,True,1.577141062007919e-08,False,ATTEMPTED,OK,0.0856411379746403,0.08674116078442524,0.08532575471069637,0.0013939431437444154,0.0863948876487778,0.08788160281078627,0.08811420795705584,0.013657699498362912,0.012926794987533146,0.013874777058075731,0.9221087530015415,0.013152553795019752,0.012210304014345988,0.012069117645121029
interactive|clear_priority_crossing|t0|c0|weak|s0,interactive,,clear_priority_crossing,weak,2026082800,6,0,7,-0.7853981633974483,-0.7853981633974483,-0.017190912161857027,-0.01719091216185703,0.0923210071246624,0.7682072512355913,0.7682072512355913,0.9061397395064517,0.17339532788797962,0.09542015868867518,True,True,4.587402370844368e-05,False,ATTEMPTED,OK,0.09692426899383075,0.09687679639392408,0.06337029720285396,0.0049387144527549475,0.09377522917854171,0.09839571001679077,0.10035887314143012,0.00911494892725736,0.009136610141120358,0.04879434351243667,0.9061397395064517,0.010669271588364606,0.008468418334113851,0.007676667990255709
interactive|clear_priority_crossing|t0|c0|weak|s0,interactive,,clear_priority_crossing,weak,2026082800,7,0,8,-0.7853981633974483,-0.7853981633974483,-0.0021515009718223663,-0.002151500971822408,0.18398868336370267,0.7832466624256259,0.7832466624256259,0.809741710619343,0.21454065223096697,0.20680867248333704,True,True,0.05058173018633332,False,ATTEMPTED,OK,0.06491524598698258,0.10718326668869231,0.09787110680880132,0.010689788044186029,0.06277082355190282,0.06284904799426211,0.21749846052752306,0.0538090906399415,0.006501555063397869,0.010356862907356258,0.809741710619343,0.05989922373271478,0.05966540212619887,2.6154911047752607e-05
interactive|clear_priority_crossing|t0|c0|weak|s0,interactive,,clear_priority_crossing,weak,2026082800,8,0,9,-0.7853981633974483,-0.7853981633974483,-0.003425316904312859,-0.003425316904312844,0.19288834366967245,0.7819728464931354,0.7819728464931354,0.7963311823797297,0.2192980253306116,0.38125620149600387,True,True,0.7516760897821186,False,ATTEMPTED,OK,0.12071508462308017,0.12154524033608978,0.06285925664856934,0.0198435823594932,0.06287766816369124,0.11108348548047683,0.40109978385549705,0.005136849965409042,0.0049279952322662255,0.09268729824086663,0.7963311823797297,0.09260201182353527,0.00831465816813083,4.190062460008555e-09
interactive|clear_priority_crossing|t0|c0|weak|s0,interactive,,clear_priority_crossing,weak,2026082800,9,0,10,-0.7853981633974483,-0.7853981633974483,0.013333653142712069,0.013333653142712093,0.29681210487199694,0.7987318165401603,0.7987318165401603,0.6708073699715054,0.28890774722804025,0.7340943847673546,True,True,0.7667139558280165,False,ATTEMPTED,OK,0.13755917816597812,0.13689322631479722,0.06299166379614095,0.032766898344317716,0.06300252669463102,0.0977518476585221,0.7668612831116722,0.003556824049088369,0.0036772515738128365,0.1480046576883866,0.6708073699715054,0.14792429153696954,0.0260296051802371,7.690256056339052e-17
interactive|clear_priority_crossing|t0|c0|weak|s0,interactive,,clear_priority_crossing,weak,2026082800,10,0,11,-0.7853981633974483,-0.7853981633974483,-0.2772325797063014,-0.27723257970630144,0.40048320682014504,0.508165583691147,0.508165583691147,0.4886395885323049,0.3974653322349878,1.1562237339723564,True,True,0.33048628620443304,False,ATTEMPTED,OK,0.22252930993321673,0.06276050453411813,0.06291584563176972,0.049063047768614136,0.12778690726902855,0.1250399774786037,1.2052867817409705,8.360199226391386e-05,0.2463497666321607,0.2444437660618901,0.4886395885323049,0.009539415401769193,0.010943861379611187,3.81864489520341e-26
interactive|clear_priority_crossing|t0|c0|weak|s0,interactive,,clear_priority_crossing,weak,2026082800,11,1,11,-0.7853981633974483,-0.7853981633974483,-0.1568686208293323,-0.15686862082933217,0.3393350200592118,0.628529542568116,0.628529542568116,0.48156111719958516,0.3272950120120826,1.1754748367048193,True,True,1.2430429621643191e-07,False,ATTEMPTED,OK,1.139217019521633,0.17309532922691387,0.07148851896274255,0.07286016069879303,0.11956527395837165,0.1329517835467714,1.246963355667562,3.142111665900605e-24,0.002994246580476707,0.48156111719958516,0.44964171071586556,0.04351890338355075,0.022284022120522,1.4372742784106135e-26
interactive|clear_priority_crossing|t0|c0|weak|s0,interactive,,clear_priority_crossing,weak,2026082800,12,2,11,-0.7853981633974483,-0.7853981633974483,-0.22762240221711105,-0.2276224022171111,0.27289252012163623,0.5577757611803372,0.5577757611803372,0.6847800348300689,0.27021206432289596,0.9286752456723578,True,True,3.6221907466884247e-13,False,ATTEMPTED,OK,0.4348809748807126,0.2192646378068722,0.06997162538139155,0.09110993795686073,0.12322635315285736,0.13315227162383272,0.9986468710537494,8.159156166453851e-09,0.00039236884454881845,0.6847800348300689,0.2379789063312128,0.04776825421426903,0.02908042762074438,4.6733074758203214e-21
interactive|clear_priority_crossing|t0|c0|weak|s0,interactive,,clear_priority_crossing,weak,2026082800,13,3,11,-0.7853981633974483,-0.7853981633974483,-0.2507327880529422,-0.2507327880529422,0.2652164047603509,0.5346653753445061,0.5346653753445061,0.6539527139999497,0.2645958672396705,0.664643086893971,True,True,0.0,False,ATTEMPTED,OK,0.4364183260929033,0.4778244404267346,0.11077507314486783,0.1241564305474777,0.20228409175694992,0.21096272558778928,0.7754181600388388,5.5499996442503994e-08,7.001169734068616e-09,0.6539527139999497,0.3349452802548421,0.00673679380722039,0.004365149436819252,2.4154891600055992e-15
