case_key,unit_composite_key,anchor_frame_index,elapsed_time_s,target_ipv_future,pred_human_ipv_point,lo_90,hi_90,support_gate_pass,gate_category_pass,gate_distance_k25_mean,gate_distance_threshold,deviation_signed_exceedance_90,deviation_abs_exceedance_90,deviation_outside_90,deviation_upper_tail_90,deviation_lower_tail_90,abstention_reasons,gate_joint_cell,time_s,ego_x,ego_y,counterpart_x,counterpart_y,distance_m,closing_rate_mps,status,observed_future_ipv
onsite:beijing:T15:B3:native_case:2335,area_id=beijing|algorithm_id=T15|team_id=T15|session_id=6924-1766198444|task_id=task_B|scenario_id=B3|case_id=B3|run_id=run:beijing:T15,26,0.3,0.0624711762206025,0.0,,,False,True,2.469642,1.6072176694869995,,,False,False,False,distance_over_threshold;distance_feature_nan_any,F|priority|AV;HV,0.3,0.7676873406451731,-10.618544112936236,-4.839005218004639,13.732416687603717,24.988083026848063,-3.727088309232848,abstain,0.0624711762206025
onsite:beijing:T15:B3:native_case:2335,area_id=beijing|algorithm_id=T15|team_id=T15|session_id=6924-1766198444|task_id=task_B|scenario_id=B3|case_id=B3|run_id=run:beijing:T15,27,0.4,0.0098989721717438,0.0,-0.002132890845997429,0.19356870102451573,True,True,1.5717858,1.6072176694869995,0.0,0.0,False,False,False,,F|priority|AV;HV,0.4,0.8082659446670115,-11.193066333230917,-4.8113713687596515,13.405938129587724,25.23274349127,-2.446968156459373,in_band,0.0098989721717438
onsite:beijing:T15:B3:native_case:2335,area_id=beijing|algorithm_id=T15|team_id=T15|session_id=6924-1766198444|task_id=task_B|scenario_id=B3|case_id=B3|run_id=run:beijing:T15,28,0.5,0.0776081288038045,0.0,-0.0018741517396403313,0.2506363784031702,True,True,1.5695174,1.6072176694869995,0.0,0.0,False,False,False,,F|priority|AV;HV,0.5,0.8361644897527533,-11.620472830523028,-4.790626886359129,13.160853635233565,25.412101892458544,-1.7938049808741512,in_band,0.0776081288038045
onsite:beijing:T15:B3:native_case:2335,area_id=beijing|algorithm_id=T15|team_id=T15|session_id=6924-1766198444|task_id=task_B|scenario_id=B3|case_id=B3|run_id=run:beijing:T15,29,0.599,0.1601441097430114,0.0,-0.0019188924761248589,0.18891789960430394,True,True,1.5694385,1.6072176694869995,0.0,0.0,False,False,False,,F|priority|AV;HV,0.599,0.8709917639608468,-12.125714831422556,-4.765264037782882,12.861205663196529,25.614714038362894,-2.026376546487859,in_band,0.1601441097430114
onsite:beijing:T15:B3:native_case:2335,area_id=beijing|algorithm_id=T15|team_id=T15|session_id=6924-1766198444|task_id=task_B|scenario_id=B3|case_id=B3|run_id=run:beijing:T15,30,0.708,0.4895099775301125,0.0,-0.10344108390377292,0.2780438159661127,True,True,1.5776182,1.6072176694869995,0.21146616156399978,0.21146616156399978,True,True,False,,F|priority|AV;HV,0.708,0.9065785911034674,-12.635129101396243,-4.735282821814563,12.506994211120317,25.76736239634088,-1.4005865935355772,upper,0.4895099775301125
onsite:beijing:T15:B3:native_case:2335,area_id=beijing|algorithm_id=T15|team_id=T15|session_id=6924-1766198444|task_id=task_B|scenario_id=B3|case_id=B3|run_id=run:beijing:T15,31,0.799,0.4112466352429819,0.0,-0.14876856851146947,0.46640063273475896,True,True,1.5472169,1.6072176694869995,0.0,0.0,False,False,False,,F|priority|AV;HV,0.799,0.9426930267596064,-13.148728788608253,-4.7007327535992,12.098804296122836,25.870565927381826,-1.0321247360728842,in_band,0.4112466352429819
onsite:beijing:T15:B3:native_case:2335,area_id=beijing|algorithm_id=T15|team_id=T15|session_id=6924-1766198444|task_id=task_B|scenario_id=B3|case_id=B3|run_id=run:beijing:T15,32,0.899,0.7657779031882799,0.0570257,-0.6428084467606379,0.8740107511238886,True,True,1.4191223,1.6072176694869995,0.0,0.0,False,False,False,,F|priority|AV;HV,0.899,0.97251949999344,-13.586580399574189,-4.661874201206938,11.639711939848496,25.8478667896239,0.2269876682858115,in_band,0.7657779031882799
onsite:beijing:T15:B3:native_case:2335,area_id=beijing|algorithm_id=T15|team_id=T15|session_id=6924-1766198444|task_id=task_B|scenario_id=B3|case_id=B3|run_id=run:beijing:T15,33,1.0,0.1971977901036845,0.0,-0.28651113259361516,0.8228336070732905,True,True,1.3813821,1.6072176694869995,0.0,0.0,False,False,False,,F|priority|AV;HV,1.0,1.0110239013561386,-14.145697384829674,-4.619172633517462,11.13521641772195,25.90026478075751,-0.5188417026874855,in_band,0.1971977901036845
onsite:beijing:T15:B3:native_case:2335,area_id=beijing|algorithm_id=T15|team_id=T15|session_id=6924-1766198444|task_id=task_B|scenario_id=B3|case_id=B3|run_id=run:beijing:T15,34,1.099,1.09145838748016,0.057538725,-0.7647076343254877,0.8740107511238886,True,True,1.2522632,1.6072176694869995,0.2174476363562714,0.2174476363562714,True,True,False,,F|priority|AV;HV,1.099,1.039779694114995,-14.548243356110504,-4.573170082513627,10.5917215368126,25.75894097225974,1.4132008887771272,upper,1.09145838748016
onsite:beijing:T15:B3:native_case:2335,area_id=beijing|algorithm_id=T15|team_id=T15|session_id=6924-1766198444|task_id=task_B|scenario_id=B3|case_id=B3|run_id=run:beijing:T15,35,1.2,0.0628475072889859,0.07492693,-0.3431051169590784,0.9421026800827814,True,True,1.3537433,1.6072176694869995,0.0,0.0,False,False,False,,F|priority|AV;HV,1.2,1.0843874306809351,-15.157834325286784,-4.524456861945184,10.01620148474629,25.791301116146744,-0.3204222897466965,in_band,0.0628475072889859
