metric,global_M0,frozen_M3,relative_percent
mean_width,1.7486657502267058,1.0161520998427664,58.110139099540746
winkler,2.210260664657108,1.4229346736299133,64.37859101341165
coverage,0.8986359544971018,0.8986657100797862,100.0033111943202
