alpha,alpha_label,nominal,n,total_n,abstained_n,abstention,tail_threshold,n_cases,total_cases,coverage,post_abstention_coverage,coverage_with_abstained_as_miss,mean_width,median_width,pinball,pinball_lower,pinball_upper,winkler,lower_tail,upper_tail,competitive_fpr,over_yielding_fpr,directional_tails_ok,coverage_within_3pp,tier,coverage_delta_pp
0.2,80,0.8,1209857,1270566,60709,0.0477810676501653,0.125,7550,7576,0.8162154700927465,0.8162154700927465,0.7772158234991334,0.6078358698560561,0.515143514810827,0.053665136715578,0.0487430189543192,0.0585872544768367,1.072091649095127,0.0919926900451871,0.0917918398620663,0.0919926900451871,0.0917918398620663,True,True,M3,1.6215470092746487
0.1,90,0.9,1209857,1270566,60709,0.0477810676501653,0.075,7550,7576,0.8986657100797862,0.8986657100797862,0.8557265029915802,1.0161520998427664,1.0158008227262163,0.0355969555756713,0.0322907335843366,0.0389031775670059,1.422934673629913,0.0491917639853305,0.0521425259348832,0.0491917639853305,0.0521425259348832,True,True,M3,-0.13342899202137826
0.05,95,0.95,1209857,1270566,60709,0.0477810676501653,0.05,7550,7576,0.949634543586556,0.949634543586556,0.9042599912165128,1.4457677613988371,1.5485608579728272,0.0219315193856765,0.0206148626542539,0.0232481761170991,1.7539504632589773,0.0250120468782674,0.0253534095351764,0.0250120468782674,0.0253534095351764,True,True,M3,-0.03654564134439875
