seat,metric,contrast,estimate,ci_low,ci_high,n_subjects,n_pairs,pair_t,df,p_unadjusted,estimand,ci_method,p_holm_30,estimation_frame
cp,q1_rev,A-W,0.6391666667,0.31790625,0.99209375,40,20,3.569645436,19,0.002044856897,equal-subject mean within-subject class difference; fixed stimulus set,10000 pair-cluster percentile bootstrap,0.02453828276,equal_participant_pair_bootstrap
cp,q1_rev,C-W,0.6825,0.5483333333,0.8166666667,40,20,9.693942366,19,8.662842042e-09,equal-subject mean within-subject class difference; fixed stimulus set,10000 pair-cluster percentile bootstrap,1.99245367e-07,equal_participant_pair_bootstrap
cp,q1_rev,A-C,-0.04333333333,-0.3020833333,0.2275104167,40,20,-0.3106205077,19,0.7594709183,equal-subject mean within-subject class difference; fixed stimulus set,10000 pair-cluster percentile bootstrap,1.0,equal_participant_pair_bootstrap
cp,q4,A-W,-1.090833333,-1.22625,-0.96125,40,20,-15.80626435,19,2.18376287e-12,equal-subject mean within-subject class difference; fixed stimulus set,10000 pair-cluster percentile bootstrap,6.114536036e-11,equal_participant_pair_bootstrap
cp,q4,C-W,-0.22125,-0.35125,-0.1,40,20,-3.384884254,19,0.003108934461,equal-subject mean within-subject class difference; fixed stimulus set,10000 pair-cluster percentile bootstrap,0.03419827907,equal_participant_pair_bootstrap
cp,q4,A-C,-0.8695833333,-0.97375,-0.7658229167,40,20,-15.98650216,19,1.785989564e-12,equal-subject mean within-subject class difference; fixed stimulus set,10000 pair-cluster percentile bootstrap,5.179369735e-11,equal_participant_pair_bootstrap
cp,q5_cost_cp,A-W,2.070416667,1.885,2.262510417,40,20,20.99490772,19,1.3152441740000002e-14,equal-subject mean within-subject class difference; fixed stimulus set,10000 pair-cluster percentile bootstrap,3.945732523e-13,equal_participant_pair_bootstrap
cp,q5_cost_cp,C-W,0.9079166667,0.7708333333,1.050833333,40,20,12.47348501,19,1.344014272e-10,equal-subject mean within-subject class difference; fixed stimulus set,10000 pair-cluster percentile bootstrap,3.494437107e-09,equal_participant_pair_bootstrap
cp,q5_cost_cp,A-C,1.1625,1.01875,1.3,40,20,15.66240183,19,2.567609377e-12,equal-subject mean within-subject class difference; fixed stimulus set,10000 pair-cluster percentile bootstrap,6.932545319e-11,equal_participant_pair_bootstrap
