index,side,estimate,ci_low,ci_high,unit,alpha,case_bootstrap_ci_95,case_bootstrap_reps,case_equal_contrast_n,case_equal_t_p,comparison,comparison_denominator,comparison_numerator,comparison_share,inside_denominator,inside_numerator,inside_share,naive_two_proportion_p,share_difference,stratum,team_equal_contrast_n,team_equal_t_p,threshold_mps2,window
0,A,-4.427935027155169,-6.4799086902058045,-2.257904755711097,percentage points,90,"[-0.06479908690205805, -0.022579047557110973]",1000,101,0.09851930177936317,lower_minus_inside,13800,570,0.041304347826086954,310246,26552,0.08558369809763865,1.9474071567392578e-75,-0.04427935027155169,non_scripted,16,0.0004676458643334323,-2,fixed3
1,A,-3.3987220239535016,-5.321453964763765,-1.5468029661414162,percentage points,90,"[-0.05321453964763765, -0.015468029661414162]",1000,101,0.4704471434340286,lower_minus_inside,13800,402,0.029130434782608697,310246,19582,0.06311765502214371,2.623945913910643e-59,-0.033987220239535015,non_scripted,16,0.002219966991020055,-3,fixed3
2,A,-3.132089150012514,-4.868962626132702,-1.436412673851002,percentage points,90,"[-0.04868962626132702, -0.014364126738510018]",1000,101,0.5298553078161166,lower_minus_inside,13800,363,0.026304347826086958,310246,17878,0.0576252393262121,5.313233375912891e-55,-0.03132089150012514,non_scripted,16,0.0030003427083027247,-4,fixed3
0,C,-0.6344696908578001,-2.8364383832782645,1.7652677574145268,percentage points,90,"[-0.028364383832782645, 0.017652677574145268]",1000,111,0.5645703553388042,upper_minus_inside,21025,1666,0.07923900118906065,310246,26552,0.08558369809763865,0.001425963887881542,-0.006344696908578001,non_scripted,16,0.06694338265675484,-2,fixed3
1,C,0.07111202453949361,-1.963112687816504,2.238265562831403,percentage points,90,"[-0.01963112687816504, 0.02238265562831403]",1000,111,0.8148128037175196,upper_minus_inside,21025,1342,0.06382877526753865,310246,19582,0.06311765502214371,0.6816494980968784,0.0007111202453949361,non_scripted,16,0.3008591303798874,-3,fixed3
2,C,0.37778522314573376,-1.6713242921422629,2.7145708233499923,percentage points,90,"[-0.01671324292142263, 0.027145708233499922]",1000,111,0.8517819256090964,upper_minus_inside,21025,1291,0.06140309155766944,310246,17878,0.0576252393262121,0.023180982319400183,0.0037778522314573376,non_scripted,16,0.5492339589839608,-4,fixed3
