side,quantile,comparator,inside,comparator_value,inside_value,ratio,n_comparator,n_inside,n_cases,n_boot,ci_low,ci_high
A,q50,lower,inside,4.843333289304024,5.373409580439786,0.901351965972343,499,12344,227,2000,0.7625654619707104,1.10720688760317
A,q75,lower,inside,7.677577297547503,12.77680031254172,0.6008998426633612,499,12344,227,2000,0.43617748527890404,0.8307816404799749
C,q50,upper,inside,5.303893361793611,5.373409580439786,0.9870629220413,817,12344,227,2000,0.8259370884512888,1.22383042873854
C,q75,upper,inside,13.143564812978468,12.77680031254172,1.0287055046228384,817,12344,227,2000,0.6684032959638447,1.3822177069289643
