case_key,perspective,elapsed_time_s,ego_px_anchor,ego_py_anchor,counterpart_px_anchor,counterpart_py_anchor,ego_local_x_m,ego_local_y_m,counterpart_local_x_m,counterpart_local_y_m,shown,origin_x_m,origin_y_m
ipv_004992,key_agent_1,0.7,-826.0038452148438,1258.249755859375,-917.0158081054688,1385.064453125,115.03424072265625,-158.72735595703148,24.02227783203125,-31.912658691406477,False,-941.0380859375,1416.9771118164065
ipv_004992,key_agent_1,0.8,-826.7506713867188,1259.28857421875,-916.8563842773438,1384.872436523438,114.28741455078125,-157.68853759765648,24.18170166015625,-32.10467529296852,False,-941.0380859375,1416.9771118164065
ipv_004992,key_agent_1,0.9,-827.7786254882812,1260.691040039062,-917.0789794921876,1385.113525390625,113.25946044921875,-156.28607177734443,23.959106445312386,-31.863586425781477,False,-941.0380859375,1416.9771118164065
ipv_004992,key_agent_1,1.0,-828.7054443359375,1261.85009765625,-917.2109985351562,1385.241088867188,112.3326416015625,-155.12701416015648,23.82708740234375,-31.736022949218523,False,-941.0380859375,1416.9771118164065
ipv_004992,key_agent_1,1.1,-829.6480712890625,1263.24462890625,-917.3086547851562,1385.33154296875,111.3900146484375,-153.73248291015648,23.72943115234375,-31.645568847656477,False,-941.0380859375,1416.9771118164065
ipv_004992,key_agent_1,1.2,-830.30810546875,1264.384155273438,-917.0989379882812,1385.013671875,110.72998046875,-152.59295654296852,23.93914794921875,-31.963439941406477,False,-941.0380859375,1416.9771118164065
ipv_004992,key_agent_1,1.3,-830.9783325195312,1264.996826171875,-916.826904296875,1384.81396484375,110.05975341796875,-151.98028564453148,24.211181640625,-32.16314697265648,False,-941.0380859375,1416.9771118164065
ipv_004992,key_agent_1,1.4,-831.8003540039062,1266.207885742188,-916.6996459960938,1384.70751953125,109.23773193359375,-150.76922607421852,24.33843994140625,-32.26959228515648,False,-941.0380859375,1416.9771118164065
ipv_004992,key_agent_1,1.5,-832.7918701171875,1267.623291015625,-916.91455078125,1385.022583007812,108.2462158203125,-149.35382080078148,24.12353515625,-31.954528808594432,False,-941.0380859375,1416.9771118164065
ipv_004992,key_agent_1,1.6,-833.6077270507812,1268.680297851562,-916.770263671875,1384.847412109375,107.43035888671875,-148.29681396484443,24.267822265625,-32.12969970703148,False,-941.0380859375,1416.9771118164065
ipv_004992,key_agent_1,1.7,-834.5578002929688,1269.9677734375,-916.6898193359376,1384.742553710938,106.48028564453125,-147.00933837890648,24.348266601562386,-32.23455810546852,False,-941.0380859375,1416.9771118164065
ipv_004992,key_agent_1,1.8,-835.4065551757812,1271.150512695312,-916.892578125,1385.084716796875,105.63153076171875,-145.82659912109443,24.1455078125,-31.892395019531477,False,-941.0380859375,1416.9771118164065
ipv_004992,key_agent_1,1.9,-836.2682495117188,1272.26416015625,-917.020751953125,1385.277465820312,104.76983642578125,-144.71295166015648,24.017333984375,-31.699645996094432,False,-941.0380859375,1416.9771118164065
ipv_004992,key_agent_1,2.0,-837.1136474609375,1273.388793945312,-917.1272583007812,1385.380615234375,103.9244384765625,-143.58831787109443,23.91082763671875,-31.596496582031477,False,-941.0380859375,1416.9771118164065
ipv_004992,key_agent_1,2.1,-837.9420776367188,1274.506591796875,-917.168212890625,1385.488037109375,103.09600830078125,-142.47052001953148,23.869873046875,-31.489074707031477,False,-941.0380859375,1416.9771118164065
ipv_004992,key_agent_1,2.2,-838.7749633789062,1275.593383789062,-917.2090454101562,1385.52783203125,102.26312255859375,-141.38372802734443,23.82904052734375,-31.449279785156477,False,-941.0380859375,1416.9771118164065
ipv_004992,key_agent_1,2.3,-839.5823364257812,1276.68310546875,-917.1358032226562,1385.291870117188,101.45574951171875,-140.29400634765648,23.90228271484375,-31.685241699218523,False,-941.0380859375,1416.9771118164065
ipv_004992,key_agent_1,2.4,-840.3786010742188,1277.720825195312,-916.9707641601562,1384.974853515625,100.65948486328125,-139.25628662109443,24.06732177734375,-32.00225830078148,False,-941.0380859375,1416.9771118164065
ipv_004992,key_agent_1,2.5,-841.16357421875,1278.777954101562,-917.1243286132812,1385.179565429688,99.87451171875,-138.19915771484443,23.91375732421875,-31.797546386718523,False,-941.0380859375,1416.9771118164065
ipv_004992,key_agent_1,2.6,-841.8551025390625,1279.79150390625,-917.0973510742188,1385.323120117188,99.1829833984375,-137.18560791015648,23.94073486328125,-31.653991699218523,False,-941.0380859375,1416.9771118164065
ipv_004992,key_agent_1,2.7,-842.66064453125,1280.880493164062,-917.12548828125,1385.422119140625,98.37744140625,-136.09661865234443,23.91259765625,-31.554992675781477,False,-941.0380859375,1416.9771118164065
ipv_004992,key_agent_1,2.8,-843.4014892578125,1281.88525390625,-917.1200561523438,1385.500610351562,97.6365966796875,-135.09185791015648,23.91802978515625,-31.476501464844432,False,-941.0380859375,1416.9771118164065
ipv_004992,key_agent_1,2.9,-844.1212768554688,1282.862915039062,-917.1348876953124,1385.54931640625,96.91680908203125,-134.11419677734443,23.903198242187614,-31.427795410156477,False,-941.0380859375,1416.9771118164065
ipv_004992,key_agent_1,3.0,-844.8356323242188,1283.91015625,-917.1318969726562,1385.579467773438,96.20245361328125,-133.06695556640648,23.90618896484375,-31.397644042968523,False,-941.0380859375,1416.9771118164065
ipv_004992,key_agent_1,3.1,-845.5951538085938,1284.912841796875,-917.1270751953124,1385.593383789062,95.44293212890625,-132.06427001953148,23.911010742187614,-31.383728027344432,False,-941.0380859375,1416.9771118164065
ipv_004992,key_agent_1,3.2,-846.3468017578125,1285.916259765625,-917.142822265625,1385.604248046875,94.6912841796875,-131.06085205078148,23.895263671875,-31.372863769531477,False,-941.0380859375,1416.9771118164065
ipv_004992,key_agent_1,3.3,-847.0975341796875,1286.921508789062,-917.16748046875,1385.612426757812,93.9405517578125,-130.05560302734443,23.87060546875,-31.364685058594432,False,-941.0380859375,1416.9771118164065
ipv_004992,key_agent_1,3.4,-847.8367919921875,1287.944580078125,-917.1561279296876,1385.587768554688,93.2012939453125,-129.03253173828148,23.881958007812386,-31.389343261718523,False,-941.0380859375,1416.9771118164065
ipv_004992,key_agent_1,3.5,-848.6824951171875,1289.0576171875,-917.1142578125,1385.6220703125,92.3555908203125,-127.91949462890648,23.923828125,-31.355041503906477,False,-941.0380859375,1416.9771118164065
ipv_004992,key_agent_1,3.6,-849.4229736328125,1290.025512695312,-917.1456909179688,1385.614379882812,91.6151123046875,-126.95159912109443,23.89239501953125,-31.362731933594432,False,-941.0380859375,1416.9771118164065
ipv_004992,key_agent_1,3.7,-850.1431274414062,1291.01171875,-917.0060424804688,1385.400024414062,90.89495849609375,-125.96539306640648,24.03204345703125,-31.577087402344432,False,-941.0380859375,1416.9771118164065
ipv_004992,key_agent_1,3.8,-850.8927612304688,1292.02880859375,-917.0457153320312,1385.472778320312,90.14532470703125,-124.94830322265648,23.99237060546875,-31.504333496094432,False,-941.0380859375,1416.9771118164065
ipv_004992,key_agent_1,3.9,-851.653564453125,1293.018310546875,-916.9391479492188,1385.338989257812,89.384521484375,-123.95880126953148,24.09893798828125,-31.638122558594432,False,-941.0380859375,1416.9771118164065
ipv_004992,key_agent_1,4.0,-852.436767578125,1294.029663085938,-916.9963989257812,1385.444458007812,88.601318359375,-122.94744873046852,24.04168701171875,-31.532653808594432,False,-941.0380859375,1416.9771118164065
ipv_004992,key_agent_1,4.1,-853.1414184570312,1295.105224609375,-917.0379638671876,1385.503784179688,87.89666748046875,-121.87188720703148,24.000122070312386,-31.473327636718523,False,-941.0380859375,1416.9771118164065
ipv_004992,key_agent_1,4.2,-853.8781127929688,1296.097900390625,-917.074462890625,1385.547729492188,87.15997314453125,-120.87921142578148,23.963623046875,-31.429382324218523,False,-941.0380859375,1416.9771118164065
