bin_left_rad,bin_right_rad,count,denominator,percent
-1.1780972450961724,-1.1453723216212788,26572,486660,5.460074795545144
-1.1453723216212788,-1.1126473981463851,2604,486660,0.5350758229564788
-1.1126473981463851,-1.0799224746714913,1904,486660,0.3912382361402211
-1.0799224746714913,-1.0471975511965976,1613,486660,0.33144289647803393
-1.0471975511965976,-1.014472627721704,1656,486660,0.3402786339538898
-1.014472627721704,-0.9817477042468103,1852,486660,0.38055315826244196
-0.9817477042468103,-0.9490227807719167,2047,486660,0.42062220030411374
-0.9490227807719167,-0.9162978572970231,1759,486660,0.3614433074425677
-0.9162978572970231,-0.8835729338221293,1713,486660,0.3519911231660708
-0.8835729338221293,-0.8508480103472357,1780,486660,0.36575843504705546
-0.8508480103472357,-0.8181230868723419,1961,486660,0.40295072535240206
-0.8181230868723419,-0.7853981633974483,3159,486660,0.6491184810750832
-0.7853981633974483,-0.7526732399225546,7206,486660,1.4807052151399334
-0.7526732399225546,-0.719948316447661,2886,486660,0.5930218222167427
-0.719948316447661,-0.6872233929727674,2619,486660,0.5381580569596843
-0.6872233929727674,-0.6544984694978736,2632,486660,0.5408293264291292
-0.6544984694978736,-0.62177354602298,2698,486660,0.5543911560432335
-0.62177354602298,-0.5890486225480862,3004,486660,0.6172687297086261
-0.5890486225480862,-0.5563236990731926,3417,486660,0.7021329059302183
-0.5563236990731926,-0.5235987755982989,3269,486660,0.6717215304319237
-0.5235987755982989,-0.4908738521234052,3300,486660,0.6780914807052152
-0.4908738521234052,-0.45814892864851153,3506,486660,0.720420827682571
-0.45814892864851153,-0.4254240051736179,3757,486660,0.7719968766695434
-0.4254240051736179,-0.39269908169872414,5256,486660,1.0800147947232155
-0.39269908169872414,-0.3599741582238305,7529,486660,1.5470759873422923
-0.3599741582238305,-0.32724923474893686,4880,486660,1.002753462376197
-0.32724923474893686,-0.2945243112740432,4854,486660,0.9974109234373073
-0.2945243112740432,-0.26179938779914946,4958,486660,1.0187810791928658
-0.26179938779914946,-0.22907446432425582,4963,486660,1.0198084905272675
-0.22907446432425582,-0.19634954084936218,5188,486660,1.0660420005753504
-0.19634954084936218,-0.16362461737446843,5454,486660,1.1207002835655282
-0.16362461737446843,-0.1308996938995748,5631,486660,1.1570706448033534
-0.1308996938995748,-0.09817477042468115,5931,486660,1.218715324867464
-0.09817477042468115,-0.0654498469497875,6228,486660,1.2797435581309333
-0.0654498469497875,-0.03272492347489386,6832,486660,1.4038548473266756
-0.03272492347489386,0.0,21029,486660,4.321086590227264
0.0,0.03272492347489364,46761,486660,9.608556281592898
0.03272492347489364,0.06544984694978728,8541,486660,1.755024041425225
0.06544984694978728,0.09817477042468092,7847,486660,1.6124193482102493
0.09817477042468092,0.13089969389957457,7722,486660,1.5867340648502035
0.13089969389957457,0.1636246173744682,7644,486660,1.5707064480335347
0.1636246173744682,0.19634954084936207,7638,486660,1.5694735544322524
0.19634954084936207,0.2290744643242557,7767,486660,1.59598076685982
0.2290744643242557,0.26179938779914935,7516,486660,1.5444047178728475
0.26179938779914935,0.294524311274043,7586,486660,1.5587884765544733
0.294524311274043,0.32724923474893663,7697,486660,1.5815970081781943
0.32724923474893663,0.3599741582238303,8049,486660,1.6539267661200838
0.3599741582238303,0.39269908169872414,11698,486660,2.4037315579665477
0.39269908169872414,0.4254240051736178,11300,486660,2.321949615748161
0.4254240051736178,0.4581489286485114,7573,486660,1.5561172070850287
0.4581489286485114,0.49087385212340506,7220,486660,1.4835819668762587
0.49087385212340506,0.5235987755982987,7007,486660,1.4398142440307402
0.5235987755982987,0.5563236990731923,7094,486660,1.4576912012493322
0.5563236990731923,0.589048622548086,7891,486660,1.6214605679529857
0.589048622548086,0.6217735460229799,7048,486660,1.4482390169728352
0.6217735460229799,0.6544984694978735,5646,486660,1.160152878806559
0.6544984694978735,0.6872233929727671,5282,486660,1.085357333662105
0.6872233929727671,0.7199483164476608,5210,486660,1.0705626104467185
0.7199483164476608,0.7526732399225544,5629,486660,1.1566596802695928
0.7526732399225544,0.7853981633974481,12678,486660,2.605104179509308
0.7853981633974481,0.8181230868723419,9087,486660,1.8672173591419061
0.8181230868723419,0.8508480103472356,4311,486660,0.8858340525212675
0.8508480103472356,0.883572933822129,3715,486660,0.763366621460568
0.883572933822129,0.9162978572970228,3598,486660,0.7393251962355649
0.9162978572970228,0.9490227807719167,3707,486660,0.761722763325525
0.9490227807719167,0.9817477042468101,4223,486660,0.8677516130357951
0.9817477042468101,1.014472627721704,3555,486660,0.730489458759709
1.014472627721704,1.0471975511965974,3092,486660,0.6353511691940985
1.0471975511965974,1.0799224746714913,3038,486660,0.6242551267825587
1.0799224746714913,1.1126473981463847,3260,486660,0.6698721900300004
1.1126473981463847,1.1453723216212786,4014,486660,0.8248058192577981
1.1453723216212786,1.1780972450961724,39369,486660,8.089631364813217
