side,quantile_percent,ttc_s
A,1,0.5939104537520893
A,5,1.4471569889925506
A,10,1.7255104625178248
A,25,3.4603612377150337
A,50,4.843333289304024
A,75,7.677577297547503
C,1,0.5890045920944453
C,5,1.0060110819902197
C,10,1.585433177060363
C,25,3.152512040413012
C,50,5.303893361793611
C,75,13.143564812978468
W,1,0.49920941463151053
W,5,0.7799381548260698
W,10,1.187540315174174
W,25,2.992221586869074
W,50,5.373409580439786
W,75,12.77680031254172
