example,frame,candidate_rad,weight,reading_rad,status
exemplar_readable,10,-1.1780972450961724,0.3314191558269223,-0.8433075054983891,OK
exemplar_readable,10,-0.7853981633974483,0.4850207471065987,-0.8433075054983891,OK
exemplar_readable,10,-0.39269908169872414,0.18324165209349202,-0.8433075054983891,OK
exemplar_readable,10,0.0,0.00024275993915068685,-0.8433075054983891,OK
exemplar_readable,10,0.39269908169872414,7.5685025245926e-05,-0.8433075054983891,OK
exemplar_readable,10,0.7853981633974483,8.590355607628938e-12,-0.8433075054983891,OK
exemplar_readable,10,1.1780972450961724,7.26332153898905e-17,-0.8433075054983891,OK
exemplar_abstain,15,-1.1780972450961724,0.1168212200373184,,ABSTAIN
exemplar_abstain,15,-0.7853981633974483,0.1359258521200382,,ABSTAIN
exemplar_abstain,15,-0.39269908169872414,0.15405377304563425,,ABSTAIN
exemplar_abstain,15,0.0,0.15064797526769766,,ABSTAIN
exemplar_abstain,15,0.39269908169872414,0.1485971983297271,,ABSTAIN
exemplar_abstain,15,0.7853981633974483,0.14839814437991825,,ABSTAIN
exemplar_abstain,15,1.1780972450961724,0.14555583681966625,,ABSTAIN
