x_low_rad,x_high_rad,y_low_rad,y_high_rad,symmetric_display_count,percent_of_symmetric_points,n_independent_cases
-0.8999999999999999,-0.85,-0.55,-0.5,0,0.0,34850
-0.8999999999999999,-0.85,-0.5,-0.45000000000000007,1,0.0014347202295552368,34850
-0.8999999999999999,-0.85,-0.45000000000000007,-0.4,1,0.0014347202295552368,34850
-0.8999999999999999,-0.85,-0.4,-0.35,0,0.0,34850
-0.8999999999999999,-0.85,-0.35,-0.30000000000000004,0,0.0,34850
-0.8999999999999999,-0.85,-0.30000000000000004,-0.25,0,0.0,34850
-0.8999999999999999,-0.85,-0.25,-0.20000000000000007,0,0.0,34850
-0.8999999999999999,-0.85,-0.20000000000000007,-0.15000000000000013,0,0.0,34850
-0.8999999999999999,-0.85,-0.15000000000000013,-0.10000000000000009,1,0.0014347202295552368,34850
-0.8999999999999999,-0.85,-0.10000000000000009,-0.050000000000000044,2,0.0028694404591104736,34850
-0.8999999999999999,-0.85,-0.050000000000000044,0.0,0,0.0,34850
-0.8999999999999999,-0.85,0.0,0.050000000000000044,2,0.0028694404591104736,34850
-0.8999999999999999,-0.85,0.050000000000000044,0.09999999999999987,2,0.0028694404591104736,34850
-0.8999999999999999,-0.85,0.09999999999999987,0.1499999999999999,1,0.0014347202295552368,34850
-0.8999999999999999,-0.85,0.1499999999999999,0.19999999999999996,1,0.0014347202295552368,34850
-0.8999999999999999,-0.85,0.19999999999999996,0.25,2,0.0028694404591104736,34850
-0.8999999999999999,-0.85,0.25,0.2999999999999998,2,0.0028694404591104736,34850
-0.8999999999999999,-0.85,0.2999999999999998,0.34999999999999987,5,0.007173601147776184,34850
-0.8999999999999999,-0.85,0.34999999999999987,0.3999999999999999,3,0.00430416068866571,34850
-0.8999999999999999,-0.85,0.3999999999999999,0.44999999999999996,6,0.00860832137733142,34850
-0.8999999999999999,-0.85,0.44999999999999996,0.5,6,0.00860832137733142,34850
-0.8999999999999999,-0.85,0.5,0.5499999999999998,3,0.00430416068866571,34850
-0.8999999999999999,-0.85,0.5499999999999998,0.5999999999999999,3,0.00430416068866571,34850
-0.8999999999999999,-0.85,0.5999999999999999,0.6499999999999999,3,0.00430416068866571,34850
-0.8999999999999999,-0.85,0.6499999999999999,0.7,0,0.0,34850
-0.8999999999999999,-0.85,0.7,0.7499999999999998,1,0.0014347202295552368,34850
-0.8999999999999999,-0.85,0.7499999999999998,0.7999999999999998,5,0.007173601147776184,34850
-0.8999999999999999,-0.85,0.7999999999999998,0.8499999999999999,0,0.0,34850
-0.8999999999999999,-0.85,0.8499999999999999,0.8999999999999997,1,0.0014347202295552368,34850
-0.8999999999999999,-0.85,0.8999999999999997,0.95,0,0.0,34850
-0.8999999999999999,-0.85,0.95,0.9999999999999998,0,0.0,34850
-0.8999999999999999,-0.85,0.9999999999999998,1.05,0,0.0,34850
-0.8999999999999999,-0.85,1.05,1.0999999999999999,0,0.0,34850
-0.8999999999999999,-0.85,1.0999999999999999,1.1499999999999997,0,0.0,34850
-0.8999999999999999,-0.85,1.1499999999999997,1.2,0,0.0,34850
-0.85,-0.8,-1.2,-1.15,0,0.0,34850
-0.85,-0.8,-1.15,-1.0999999999999999,0,0.0,34850
-0.85,-0.8,-1.0999999999999999,-1.05,0,0.0,34850
-0.85,-0.8,-1.05,-1.0,0,0.0,34850
-0.85,-0.8,-1.0,-0.95,0,0.0,34850
-0.85,-0.8,-0.95,-0.8999999999999999,0,0.0,34850
-0.85,-0.8,-0.8999999999999999,-0.85,2,0.0028694404591104736,34850
-0.85,-0.8,-0.85,-0.8,0,0.0,34850
-0.85,-0.8,-0.8,-0.75,0,0.0,34850
-0.85,-0.8,-0.75,-0.7,0,0.0,34850
-0.85,-0.8,-0.7,-0.65,1,0.0014347202295552368,34850
-0.85,-0.8,-0.65,-0.6,0,0.0,34850
-0.85,-0.8,-0.6,-0.55,0,0.0,34850
-0.85,-0.8,-0.55,-0.5,0,0.0,34850
-0.85,-0.8,-0.5,-0.45000000000000007,0,0.0,34850
-0.85,-0.8,-0.45000000000000007,-0.4,0,0.0,34850
-0.85,-0.8,-0.4,-0.35,1,0.0014347202295552368,34850
-0.85,-0.8,-0.35,-0.30000000000000004,0,0.0,34850
-0.85,-0.8,-0.30000000000000004,-0.25,1,0.0014347202295552368,34850
-0.85,-0.8,-0.25,-0.20000000000000007,0,0.0,34850
-0.85,-0.8,-0.20000000000000007,-0.15000000000000013,0,0.0,34850
-0.85,-0.8,-0.15000000000000013,-0.10000000000000009,1,0.0014347202295552368,34850
-0.85,-0.8,-0.10000000000000009,-0.050000000000000044,0,0.0,34850
-0.85,-0.8,-0.050000000000000044,0.0,1,0.0014347202295552368,34850
-0.85,-0.8,0.0,0.050000000000000044,7,0.010043041606886658,34850
-0.85,-0.8,0.050000000000000044,0.09999999999999987,2,0.0028694404591104736,34850
-0.85,-0.8,0.09999999999999987,0.1499999999999999,0,0.0,34850
-0.85,-0.8,0.1499999999999999,0.19999999999999996,1,0.0014347202295552368,34850
-0.85,-0.8,0.19999999999999996,0.25,4,0.005738880918220947,34850
-0.85,-0.8,0.25,0.2999999999999998,6,0.00860832137733142,34850
-0.85,-0.8,0.2999999999999998,0.34999999999999987,3,0.00430416068866571,34850
