index,side,threshold_s,estimate,ci_low,ci_high,side_numerator,side_denominator,side_share,within_numerator,within_denominator,within_share,unit,n_cases,n_boot
0,A,1.0,-4.153641047487067,-6.589610741494443,-1.4178083289891728,18,499,0.036072144288577156,958,12344,0.07760855476344783,percentage points,227,1000
0,C,1.0,-2.864894644031441,-5.558957227601102,-0.01691798989024862,40,817,0.04895960832313342,958,12344,0.07760855476344783,percentage points,227,1000
1,A,1.5,-6.753591434326851,-10.92072084105124,-2.066513909960151,33,499,0.06613226452905811,1650,12344,0.13366817887232663,percentage points,227,1000
1,C,1.5,-3.8196942642216474,-7.642607157713918,0.046645373824497426,78,817,0.09547123623011015,1650,12344,0.13366817887232663,percentage points,227,1000
2,A,2.0,-6.729190721040268,-11.665576386315543,-1.758978975854032,52,499,0.10420841683366733,2117,12344,0.17150032404407,percentage points,227,1000
2,C,2.0,-4.665332282007979,-9.244686124859655,0.10565028526932911,102,817,0.12484700122399021,2117,12344,0.17150032404407,percentage points,227,1000
3,A,3.0,-4.80002454682534,-11.131662874103593,2.2151359148086818,101,499,0.20240480961923848,3091,12344,0.2504050550874919,percentage points,227,1000
3,C,3.0,-3.4982778465704856,-9.223048946910014,2.2488334517924113,176,817,0.21542227662178703,3091,12344,0.2504050550874919,percentage points,227,1000
