event_id,event_name,computable_units,total_units,computable_fraction,event_count,raw_event_count,primary_event_count,suppressed_by_precedence,event_rate_per_computable_unit,event_frequency,raw_frame_hits,runs_before_duration,events_before_merge,events_after_merge,duplicate_overlapping_events,duplicate_rate_before_after,impossible_values,sampling_rate_sensitivity,threshold_sensitivity_low_central_high,actor_attribution_failures,missing_data_failures,not_computable_reason,candidate_or_proxy_guard
E01,counterpart hard braking,0,1703,0.000000,0,0,0,0,0.000000,0 events / 0 computable units,0,0,0,0,0,before=0; after=0; merged_duplicate_rate=0.000000; post_merge_overlaps=0,0,original=0; decimate2=0; delta=0; relative_delta=,low=0; central=0; high=0,1703,1703,Not computable in this pilot: no frozen counterpart relation is available; all non-ego actors are treated as unresolved for E01.,not emitted; frozen counterpart relation unavailable
E02,high deceleration,1708,1708,1.000000,1770,1770,1770,0,1.036300,1770 events / 1708 computable units,108552,6699,2060,1770,290,before=2060; after=1770; merged_duplicate_rate=0.140777; post_merge_overlaps=0,2,original=1770; decimate2=1964; delta=194; relative_delta=0.109605,low=2568; central=1770; high=1283,0,5,,automatic kinematic/geometric pilot output
E03,high jerk,1708,1708,1.000000,1615,1615,1615,0,0.945550,1615 events / 1708 computable units,30098,16465,1691,1615,76,before=1691; after=1615; merged_duplicate_rate=0.044944; post_merge_overlaps=0,2,original=1615; decimate2=6612; delta=4997; relative_delta=3.094118,low=8818; central=1615; high=287,0,5,,automatic kinematic/geometric pilot output
E06,repeated stop-go,1708,1708,1.000000,186,186,186,0,0.108899,186 events / 1708 computable units,108437,4544,199,186,13,before=199; after=186; merged_duplicate_rate=0.065327; post_merge_overlaps=0,2,original=186; decimate2=194; delta=8; relative_delta=0.043011,low=212; central=186; high=32,0,4,,automatic kinematic/geometric pilot output
E09,near miss,917,1703,0.538462,350,463,350,113,0.381679,350 events / 917 computable units,16523,520,481,463,18,before=481; after=463; merged_duplicate_rate=0.037422; post_merge_overlaps=0,4,original=350; decimate2=860; delta=510; relative_delta=1.457143,low=228; central=350; high=423,0,802,,automatic kinematic/geometric pilot output
E15,collision/contact geometric candidate,917,1703,0.538462,114,114,114,0,0.124318,114 events / 917 computable units,4118,118,115,114,1,before=115; after=114; merged_duplicate_rate=0.008696; post_merge_overlaps=0,4,original=114; decimate2=161; delta=47; relative_delta=0.412281,low=114; central=114; high=110,0,802,,geometric contact candidate only; not sensor-confirmed collision
E16,no-progress timeout,5,5,1.000000,48,48,48,0,9.600000,48 events / 5 computable units,2194,93,93,48,45,before=93; after=48; merged_duplicate_rate=0.483871; post_merge_overlaps=0,2,original=48; decimate2=39; delta=-9; relative_delta=-0.187500,low=66; central=48; high=17,0,4,,no-progress only; off-route guarded off because route/lane/goal geometry is unavailable
E18,kinematic emergency-stop candidate,5,5,1.000000,0,0,0,0,0.000000,0 events / 5 computable units,7,3,0,0,0,before=0; after=0; merged_duplicate_rate=0.000000; post_merge_overlaps=0,2,original=0; decimate2=1; delta=1; relative_delta=,low=0; central=0; high=202,0,4,,kinematic emergency-stop candidate only; no explicit e-stop command flag
E19,abrupt lateral comfort events,5,5,1.000000,2,2,2,0,0.400000,2 events / 5 computable units,67,39,2,2,0,before=2; after=2; merged_duplicate_rate=0.000000; post_merge_overlaps=0,2,original=2; decimate2=3; delta=1; relative_delta=0.500000,low=32; central=2; high=2,0,4,,automatic kinematic/geometric pilot output
