claim_id,metric,seat,contrast,interpretation,estimate,ci_low,ci_high,p_holm_30,n_subjects,n_pairs,common_scenario_estimate,n_common_scenarios,source,evidence_file,figure,status
R1,q1_rev,cp,A-W,更不典型,0.6391666667,0.31790625,0.99209375,0.02453828276,40,20,0.8504464286,8,data/ratings.csv + segments.csv + subjects.csv + trials.csv + sessions.csv,participant_paired_contrasts.csv,FigS1_subjective_ratings; FigS2_common_scenario_check,candidate; exploratory; no manuscript or accepted decision modified
R1,q1_rev,cp,C-W,更不典型,0.6825,0.5483333333,0.8166666667,1.99245367e-07,40,20,0.9490740741,9,data/ratings.csv + segments.csv + subjects.csv + trials.csv + sessions.csv,participant_paired_contrasts.csv,FigS1_subjective_ratings; FigS2_common_scenario_check,candidate; exploratory; no manuscript or accepted decision modified
R2,q4,cp,A-W,更不舒适,-1.090833333,-1.22625,-0.96125,6.114536036e-11,40,20,-1.119791667,8,data/ratings.csv + segments.csv + subjects.csv + trials.csv + sessions.csv,participant_paired_contrasts.csv,FigS1_subjective_ratings; FigS2_common_scenario_check,candidate; exploratory; no manuscript or accepted decision modified
R2,q4,cp,A-C,强势侧舒适性更低,-0.8695833333,-0.97375,-0.7658229167,5.179369735e-11,40,20,-0.8514880952,12,data/ratings.csv + segments.csv + subjects.csv + trials.csv + sessions.csv,participant_paired_contrasts.csv,FigS1_subjective_ratings; FigS2_common_scenario_check,candidate; exploratory; no manuscript or accepted decision modified
R3,q4,cp,C-W,礼让侧仍有较小的舒适性差异,-0.22125,-0.35125,-0.1,0.03419827907,40,20,-0.2447089947,9,data/ratings.csv + segments.csv + subjects.csv + trials.csv + sessions.csv,participant_paired_contrasts.csv,FigS1_subjective_ratings; FigS2_common_scenario_check,candidate; exploratory; no manuscript or accepted decision modified
R2,q5_cost_cp,cp,A-W,对方交互代价评分更高,2.070416667,1.885,2.262510417,3.945732523e-13,40,20,2.005208333,8,data/ratings.csv + segments.csv + subjects.csv + trials.csv + sessions.csv,participant_paired_contrasts.csv,FigS1_subjective_ratings; FigS2_common_scenario_check,candidate; exploratory; no manuscript or accepted decision modified
R2,q5_cost_cp,cp,A-C,强势侧对方代价更高,1.1625,1.01875,1.3,6.932545319e-11,40,20,1.19077381,12,data/ratings.csv + segments.csv + subjects.csv + trials.csv + sessions.csv,participant_paired_contrasts.csv,FigS1_subjective_ratings; FigS2_common_scenario_check,candidate; exploratory; no manuscript or accepted decision modified
R3,q5_cost_cp,cp,C-W,礼让侧对方代价也高于范围内,0.9079166667,0.7708333333,1.050833333,3.494437107e-09,40,20,0.9146825397,9,data/ratings.csv + segments.csv + subjects.csv + trials.csv + sessions.csv,participant_paired_contrasts.csv,FigS1_subjective_ratings; FigS2_common_scenario_check,candidate; exploratory; no manuscript or accepted decision modified
