trial_id,subject_id,seat,segment_id,class,scenario_id,pair_id,mean_pre,count_pre,mean_post,count_post,delta_dial_z
P01B_T15,H0022,ego,S265,C,C1,P01,0.548392485,20,0.7832238244,20,0.2348313394
P01B_T16,H0021,cp,S828,A,A5,P01,0.4653988848,20,1.940164775,20,1.47476589
P01B_T16,H0022,ego,S828,A,A5,P01,0.2003621273,20,1.774438089,20,1.574075962
P01B_T17,H0021,cp,S486,W,A6,P01,0.2860816941,20,-0.1361313827,20,-0.4222130768
P01B_T17,H0022,ego,S486,W,A6,P01,0.5465973963,20,0.360847879,20,-0.1857495173
P02A_T03,H0023,ego,S953,A,A4,P02,0.4103903699,20,1.064582124,20,0.6541917543
P02A_T03,H0024,cp,S953,A,A4,P02,0.6818773064,20,1.394341011,20,0.7124637044
P02A_T04,H0023,ego,S836,A,A3,P02,0.2032350479,20,1.397048295,20,1.193813247
P02A_T04,H0024,cp,S836,A,A3,P02,0.6246691955,20,1.556440718,20,0.9317715225
P02A_T05,H0023,ego,S999,W,A2,P02,0.5248286244,20,0.9060414593,20,0.3812128349
P02A_T05,H0024,cp,S999,W,A2,P02,0.4720458265,20,0.8437597218,20,0.3717138953
P02A_T06,H0023,ego,S730,C,B4,P02,0.281527327,20,-0.1070299093,20,-0.3885572363
P02A_T06,H0024,cp,S730,C,B4,P02,0.1886731331,20,-0.03169700067,20,-0.2203701337
P02A_T07,H0023,ego,S681,A,A3,P02,0.2973561921,20,1.126757522,20,0.8294013303
P02A_T07,H0024,cp,S681,A,A3,P02,0.5132588442,20,1.360358982,20,0.8471001383
P02A_T08,H0023,ego,S643,W,C4,P02,0.4531247055,20,0.1520762519,20,-0.3010484536
P02A_T08,H0024,cp,S643,W,C4,P02,0.3858654713,20,0.2504805877,20,-0.1353848836
P02A_T09,H0023,ego,S845,C,B2,P02,0.4862585164,20,0.9960103765,20,0.5097518601
P02A_T09,H0024,cp,S845,C,B2,P02,0.3033549337,20,1.127144487,20,0.8237895533
P02A_T10,H0023,ego,S398,C,B3,P02,0.3574314754,20,0.6122414019,20,0.2548099264
P02A_T10,H0024,cp,S398,C,B3,P02,0.4429407927,20,0.8082204354,20,0.3652796427
P02A_T11,H0023,ego,S796,W,A1,P02,0.2467374255,20,1.441354716,20,1.194617291
P02A_T11,H0024,cp,S796,W,A1,P02,0.3686149141,20,1.612695159,20,1.244080245
P02A_T12,H0023,ego,S520,C,B3,P02,0.1253027886,20,0.1440838151,20,0.01878102646
P02A_T12,H0024,cp,S520,C,B3,P02,0.07960470478,20,-0.2475764365,20,-0.3271811413
P02A_T13,H0023,ego,S324,C,B4,P02,0.4013298747,20,1.71148948,20,1.310159606
P02A_T13,H0024,cp,S324,C,B4,P02,0.5374265247,20,1.668684021,20,1.131257497
P02A_T14,H0023,ego,S554,W,A1,P02,0.4975151316,20,1.821115472,20,1.32360034
P02A_T14,H0024,cp,S554,W,A1,P02,0.3172253957,20,1.754791946,20,1.43756655
P02A_T15,H0023,ego,S903,A,A4,P02,0.4198948893,20,1.577898179,20,1.15800329
P02A_T15,H0024,cp,S903,A,A4,P02,0.5130898394,20,1.170385562,20,0.6572957224
P02A_T16,H0023,ego,S310,C,B2,P02,0.5862119793,20,1.144110471,20,0.5578984915
P02A_T16,H0024,cp,S310,C,B2,P02,0.2063462021,20,1.514056739,20,1.307710537
P02A_T17,H0023,ego,S326,W,C4,P02,0.5888881255,20,1.128449615,20,0.5395614893
P02A_T17,H0024,cp,S326,W,C4,P02,0.2624799256,20,0.9902506324,20,0.7277707068
P02B_T03,H0023,cp,S803,C,A2,P02,0.04720252011,20,1.353425911,20,1.306223391
P02B_T03,H0024,ego,S803,C,A2,P02,0.1579384105,20,1.292467356,20,1.134528946
P02B_T04,H0023,cp,S506,A,A7,P02,0.4308394875,20,1.027620104,20,0.5967806166
P02B_T04,H0024,ego,S506,A,A7,P02,-0.03292832106,20,0.4854575613,20,0.5183858824
P02B_T05,H0023,cp,S830,W,B3,P02,0.2234441525,20,1.02352788,20,0.8000837279
P02B_T05,H0024,ego,S830,W,B3,P02,0.3450991091,20,1.16286485,20,0.8177657409
P02B_T06,H0023,cp,S454,A,B1,P02,0.7979395511,20,2.315866512,20,1.517926961
P02B_T06,H0024,ego,S454,A,B1,P02,0.9529247242,20,2.117162292,20,1.164237568
P02B_T07,H0023,cp,S751,C,A2,P02,0.6469472987,20,1.884334927,20,1.237387628
P02B_T07,H0024,ego,S751,C,A2,P02,0.3698462345,20,1.494283182,20,1.124436948
P02B_T08,H0023,cp,S975,W,C1,P02,0.6582759178,20,1.250832304,20,0.5925563857
P02B_T08,H0024,ego,S975,W,C1,P02,0.2227517355,20,1.032308674,20,0.8095569383
P02B_T09,H0023,cp,S316,A,B1,P02,0.5030834359,20,2.073513267,20,1.570429831
P02B_T09,H0024,ego,S316,A,B1,P02,0.4122181419,20,1.905918416,20,1.493700274
P02B_T10,H0023,cp,S494,C,C4,P02,0.3835929053,20,0.9867578708,20,0.6031649655
P02B_T10,H0024,ego,S494,C,C4,P02,0.08543536896,20,0.4883306422,20,0.4028952733
P02B_T11,H0023,cp,S844,W,B4,P02,0.1835419716,20,0.3241656573,20,0.1406236857
P02B_T11,H0024,ego,S844,W,B4,P02,0.2479938034,20,-0.1271726176,20,-0.375166421
