scenario_id,A,C,W
A1,1.733262851,0.005956276896,0.5970184715
A2,0.7815881812,1.0273311,0.5540073999
A5,1.459029953,0.356502743,0.5562301535
A6,0.8012300614,0.6092686718,0.3578204823
A7,0.5143232662,0.9026639654,0.06835585004
B3,0.8274218896,0.03978033814,0.2423323748
B4,0.3633935523,0.5247236868,0.0987554261
C1,1.490511346,0.76110417,0.959687695
