pair_id,subject_id,seat,metric,contrast,difference
P15,H0050,ego,q1_rev,A-C,-1.5
P16,H0051,ego,q1_rev,A-C,-0.75
P16,H0052,ego,q1_rev,A-C,0.25
P17,H0053,ego,q1_rev,A-C,-1.083333333
P17,H0054,ego,q1_rev,A-C,0.5
P18,H0055,ego,q1_rev,A-C,-0.9166666667
P18,H0056,ego,q1_rev,A-C,-0.6666666667
P19,H0057,ego,q1_rev,A-C,0.4166666667
P19,H0058,ego,q1_rev,A-C,0.6666666667
P20,H0059,ego,q1_rev,A-C,-0.5
P20,H0060,ego,q1_rev,A-C,-1.833333333
P01,H0021,ego,q2_yield_bipolar,A-W,1.15
P01,H0022,ego,q2_yield_bipolar,A-W,0.25
P02,H0023,ego,q2_yield_bipolar,A-W,1.4
P02,H0024,ego,q2_yield_bipolar,A-W,1.95
P03,H0025,ego,q2_yield_bipolar,A-W,-1.75
P03,H0026,ego,q2_yield_bipolar,A-W,-1.2
P04,H0027,ego,q2_yield_bipolar,A-W,1.5
P04,H0028,ego,q2_yield_bipolar,A-W,0.1
P05,H0029,ego,q2_yield_bipolar,A-W,-0.55
P05,H0030,ego,q2_yield_bipolar,A-W,1.65
P06,H0031,ego,q2_yield_bipolar,A-W,-1.1
P06,H0032,ego,q2_yield_bipolar,A-W,0.05
P07,H0033,ego,q2_yield_bipolar,A-W,-0.05
P07,H0034,ego,q2_yield_bipolar,A-W,-0.1333333333
P08,H0035,ego,q2_yield_bipolar,A-W,0.95
P08,H0036,ego,q2_yield_bipolar,A-W,0.45
P09,H0037,ego,q2_yield_bipolar,A-W,-0.85
P09,H0038,ego,q2_yield_bipolar,A-W,-0.65
P10,H0039,ego,q2_yield_bipolar,A-W,0.25
P10,H0040,ego,q2_yield_bipolar,A-W,-0.7
P11,H0041,ego,q2_yield_bipolar,A-W,-0.5
P11,H0042,ego,q2_yield_bipolar,A-W,0.2
P12,H0043,ego,q2_yield_bipolar,A-W,0.65
P12,H0044,ego,q2_yield_bipolar,A-W,0.3
P13,H0045,ego,q2_yield_bipolar,A-W,-0.2
P13,H0046,ego,q2_yield_bipolar,A-W,-1.7
P14,H0047,ego,q2_yield_bipolar,A-W,0.05
P14,H0048,ego,q2_yield_bipolar,A-W,1.2
P15,H0049,ego,q2_yield_bipolar,A-W,-0.75
P15,H0050,ego,q2_yield_bipolar,A-W,-1.5
P16,H0051,ego,q2_yield_bipolar,A-W,1.05
P16,H0052,ego,q2_yield_bipolar,A-W,0.55
P17,H0053,ego,q2_yield_bipolar,A-W,-0.4
P17,H0054,ego,q2_yield_bipolar,A-W,-0.4
P18,H0055,ego,q2_yield_bipolar,A-W,-1.25
P18,H0056,ego,q2_yield_bipolar,A-W,-0.6
P19,H0057,ego,q2_yield_bipolar,A-W,0.55
P19,H0058,ego,q2_yield_bipolar,A-W,-1.15
P20,H0059,ego,q2_yield_bipolar,A-W,1.15
P20,H0060,ego,q2_yield_bipolar,A-W,0.55
P01,H0021,ego,q2_yield_bipolar,C-W,1.9
P01,H0022,ego,q2_yield_bipolar,C-W,0.8333333333
P02,H0023,ego,q2_yield_bipolar,C-W,0.5666666667
P02,H0024,ego,q2_yield_bipolar,C-W,2.2
P03,H0025,ego,q2_yield_bipolar,C-W,0.25
P03,H0026,ego,q2_yield_bipolar,C-W,0.4666666667
P04,H0027,ego,q2_yield_bipolar,C-W,2
P04,H0028,ego,q2_yield_bipolar,C-W,0.6
P05,H0029,ego,q2_yield_bipolar,C-W,0.03333333333
P05,H0030,ego,q2_yield_bipolar,C-W,0.7333333333
