area,area_rank,team_code,official_name,session_id,file_role,bytes,source_relative_path,subset_relative_path,storage_mode
beijing,4,T15,wulala,6924-1766198444,replay_log,69810695,北京赛区/2-wulawula/6924-1766198444/vehicle_perception_trajectory.log,teams/beijing/04_T15_wulala/sessions/6924-1766198444/vehicle_perception_trajectory.log,hardlink
beijing,4,T15,wulala,6924-1766198444,replay_log,4704434,北京赛区/2-wulawula/6924-1766198444/vehicle_trajectory.log,teams/beijing/04_T15_wulala/sessions/6924-1766198444/vehicle_trajectory.log,hardlink
beijing,5,T20,mm,,appeal_docx,183095,北京赛区/7-MM妙妙妙/申诉证据.docx,teams/beijing/05_T20_mm/support_materials/申诉证据.docx,hardlink
beijing,5,T20,mm,,appeal_or_evidence_png,131591,北京赛区/7-MM妙妙妙/12-1.png,teams/beijing/05_T20_mm/support_materials/12-1.png,hardlink
beijing,5,T20,mm,,appeal_or_evidence_png,40027,北京赛区/7-MM妙妙妙/12.png,teams/beijing/05_T20_mm/support_materials/12.png,hardlink
beijing,5,T20,mm,,diagnosis_pdf,4449290,北京赛区/7-MM妙妙妙/诊断报告.pdf,teams/beijing/05_T20_mm/support_materials/诊断报告.pdf,hardlink
beijing,5,T20,mm,,onsite_runtime_log,2996736,北京赛区/7-MM妙妙妙/onsite_2025-12-20_14-22-54.log,teams/beijing/05_T20_mm/support_materials/onsite_2025-12-20_14-22-54.log,hardlink
beijing,5,T20,mm,,team_info_txt,488,北京赛区/7-MM妙妙妙/队伍信息.txt,teams/beijing/05_T20_mm/support_materials/队伍信息.txt,hardlink
beijing,5,T20,mm,6941-1766212682,replay_log,511504,北京赛区/7-MM妙妙妙/6941-1766212682/monitor.log,teams/beijing/05_T20_mm/sessions/6941-1766212682/monitor.log,hardlink
beijing,5,T20,mm,6941-1766212682,replay_log,70048388,北京赛区/7-MM妙妙妙/6941-1766212682/simulation_trajectory.log,teams/beijing/05_T20_mm/sessions/6941-1766212682/simulation_trajectory.log,hardlink
beijing,5,T20,mm,6941-1766212682,replay_log,54892697,北京赛区/7-MM妙妙妙/6941-1766212682/vehicle_perception_simulation_trajectory.log,teams/beijing/05_T20_mm/sessions/6941-1766212682/vehicle_perception_simulation_trajectory.log,hardlink
beijing,5,T20,mm,6941-1766212682,replay_log,54698442,北京赛区/7-MM妙妙妙/6941-1766212682/vehicle_perception_trajectory.log,teams/beijing/05_T20_mm/sessions/6941-1766212682/vehicle_perception_trajectory.log,hardlink
beijing,5,T20,mm,6941-1766212682,replay_log,4643602,北京赛区/7-MM妙妙妙/6941-1766212682/vehicle_trajectory.log,teams/beijing/05_T20_mm/sessions/6941-1766212682/vehicle_trajectory.log,hardlink
shanghai,1,T11,wsd,,diagnosis_pdf,4233514,上海赛区/武汉理工大学_WUT_FSD/武汉理工大学_WUT_FSD.pdf,teams/shanghai/01_T11_wsd/support_materials/武汉理工大学_WUT_FSD.pdf,hardlink
shanghai,1,T11,wsd,6923-1766197775,replay_log,324363,上海赛区/武汉理工大学_WUT_FSD/6923-1766197775/monitor.log,teams/shanghai/01_T11_wsd/sessions/6923-1766197775/monitor.log,hardlink
shanghai,1,T11,wsd,6923-1766197775,replay_log,51634277,上海赛区/武汉理工大学_WUT_FSD/6923-1766197775/simulation_trajectory.log,teams/shanghai/01_T11_wsd/sessions/6923-1766197775/simulation_trajectory.log,hardlink
shanghai,1,T11,wsd,6923-1766197775,replay_log,37014224,上海赛区/武汉理工大学_WUT_FSD/6923-1766197775/vehicle_perception_simulation_trajectory.log,teams/shanghai/01_T11_wsd/sessions/6923-1766197775/vehicle_perception_simulation_trajectory.log,hardlink
shanghai,1,T11,wsd,6923-1766197775,replay_log,3279587,上海赛区/武汉理工大学_WUT_FSD/6923-1766197775/vehicle_trajectory.log,teams/shanghai/01_T11_wsd/sessions/6923-1766197775/vehicle_trajectory.log,hardlink
