area,area_dir,team_dir,team_code,session_id,file_role,suffix,bytes,relative_path,mtime
shanghai,上海赛区,华南理工_SCUT1216,T4,6927-1766200590,replay_log,.log,602898,上海赛区/华南理工_SCUT1216/6927-1766200590/monitor.log,2026-06-18T17:18:42
shanghai,上海赛区,华南理工_SCUT1216,T4,6927-1766200590,replay_log,.log,78527975,上海赛区/华南理工_SCUT1216/6927-1766200590/simulation_trajectory.log,2026-06-18T17:18:42
shanghai,上海赛区,华南理工_SCUT1216,T4,6927-1766200590,replay_log,.log,74379066,上海赛区/华南理工_SCUT1216/6927-1766200590/vehicle_perception_simulation_trajectory.log,2026-06-18T17:18:42
shanghai,上海赛区,华南理工_SCUT1216,T4,6927-1766200590,replay_log,.log,74143665,上海赛区/华南理工_SCUT1216/6927-1766200590/vehicle_perception_trajectory.log,2026-06-18T17:18:42
shanghai,上海赛区,华南理工_SCUT1216,T4,6927-1766200590,replay_log,.log,5322432,上海赛区/华南理工_SCUT1216/6927-1766200590/vehicle_trajectory.log,2026-06-18T17:18:42
shanghai,上海赛区,华南理工_SCUT1216,T4,6944-1766214451,replay_log,.log,607017,上海赛区/华南理工_SCUT1216/6944-1766214451/monitor.log,2026-06-18T17:18:41
shanghai,上海赛区,华南理工_SCUT1216,T4,6944-1766214451,replay_log,.log,77259248,上海赛区/华南理工_SCUT1216/6944-1766214451/simulation_trajectory.log,2026-06-18T17:18:41
shanghai,上海赛区,华南理工_SCUT1216,T4,6944-1766214451,replay_log,.log,68055781,上海赛区/华南理工_SCUT1216/6944-1766214451/vehicle_perception_simulation_trajectory.log,2026-06-18T17:18:41
shanghai,上海赛区,华南理工_SCUT1216,T4,6944-1766214451,replay_log,.log,69738632,上海赛区/华南理工_SCUT1216/6944-1766214451/vehicle_perception_trajectory.log,2026-06-18T17:18:41
shanghai,上海赛区,华南理工_SCUT1216,T4,6944-1766214451,replay_log,.log,5396964,上海赛区/华南理工_SCUT1216/6944-1766214451/vehicle_trajectory.log,2026-06-18T17:18:41
shanghai,上海赛区,华南理工_SCUT1216,T4,,video,.mp4,1238925859,上海赛区/华南理工_SCUT1216/SCUT1216_20251220_111635.mp4,2025-12-24T10:08:34
shanghai,上海赛区,华南理工_SCUT1216,T4,,video,.mp4,1246860647,上海赛区/华南理工_SCUT1216/SCUT_1216_重赛_20251220_150739.mp4,2025-12-24T10:08:49
shanghai,上海赛区,华南理工_SCUT1216,T4,,replay_zip,.zip,24812172,上海赛区/华南理工_SCUT1216/华南理工_SCUT1216_6944-1766214451.zip,2025-12-24T10:15:09
shanghai,上海赛区,华南理工_SCUT1216,T4,,replay_zip,.zip,28673009,上海赛区/华南理工_SCUT1216/华南理工_华南理工_6927-1766200590.zip,2025-12-24T10:15:18
shanghai,上海赛区,华南理工_SCUT1216,T4,,diagnosis_pdf,.pdf,4657768,上海赛区/华南理工_SCUT1216/华南理工大学_SCUT1216.pdf,2025-12-24T10:16:08
shanghai,上海赛区,同济大学_tiev-plus,T10,6933-1766207438,replay_log,.log,467966,上海赛区/同济大学_tiev-plus/6933-1766207438/monitor.log,2026-06-18T17:18:43
shanghai,上海赛区,同济大学_tiev-plus,T10,6933-1766207438,replay_log,.log,56607511,上海赛区/同济大学_tiev-plus/6933-1766207438/simulation_trajectory.log,2026-06-18T17:18:43
shanghai,上海赛区,同济大学_tiev-plus,T10,6933-1766207438,replay_log,.log,49434388,上海赛区/同济大学_tiev-plus/6933-1766207438/vehicle_perception_simulation_trajectory.log,2026-06-18T17:18:43
shanghai,上海赛区,同济大学_tiev-plus,T10,6933-1766207438,replay_log,.log,50485738,上海赛区/同济大学_tiev-plus/6933-1766207438/vehicle_perception_trajectory.log,2026-06-18T17:18:44
